Date,Avg Score,Avg Duration,Avg Sleep Need,Avg Bedtime,Avg Wake Time,Deep Sleep,Light Sleep,REM Sleep,Awake
2025-10-25,66,7h 15min,,22:32,06:29,1.3333333333333333,4.966666666666667,0.95,0.7
2025-10-21,68,5h 13min,,23:50,05:04,1.6833333333333333,2.4833333333333334,1.05,0.016666666666666666
2025-10-17,70,5h 27min,,23:17,04:45,1.1666666666666667,3.45,0.85,0.0
2025-10-13,50,3h 41min,,01:01,04:58,0.9166666666666666,2.2666666666666666,0.5166666666666667,0.25
2025-10-10,55,4h 13min,,02:25,06:38,1.0333333333333334,2.45,0.7333333333333333,0.0
2025-10-09,80,6h 22min,,00:32,06:54,1.4333333333333333,3.8333333333333335,1.1,0.0
2025-10-08,72,7h 27min,,23:51,07:42,0.38333333333333336,5.733333333333333,1.3333333333333333,0.4
2025-10-07,73,6h 51min,,22:25,05:53,1.35,3.5166666666666666,1.9833333333333334,0.31666666666666665
2025-10-06,60,6h 44min,,23:51,06:35,0.0,4.466666666666667,2.2666666666666666,0.0
